Deterministic_CK	Deterministic_TR	Stochastic_CK	Stochastic_TR	HeS_CK	HeS_TR	HoS_CK	HoS_TR	DL_CK	DL_TR	DR_CK	DR_TR	HD_CK	HD_TR
0.077674134	0.427460957	0.922325866	0.572539043	0.077674134	9.66E-02	0	0.330907121	0.846642169	0.244423245	0.075683697	0.319306056	0	0.008809743
0.374495327	0.382786916	0.625504673	0.617213084	0.002364486	0.005233645	0.372130841	0.377553271	0.123570093	0.11715514	0.242119626	0.237575701	0.259814953	0.262482243
0.296128972	0.33482243	0.703871028	0.66517757	0.008457944	0.006904673	0.287671028	0.327917757	0.197785047	0.122308411	0.196598131	0.272390654	0.30948785	0.270478505
0.395231776	0.34182243	0.604768224	0.65817757	0.008106542	0.006213084	0.387125234	0.335609346	0.0486	0.148031776	0.321820561	0.249848598	0.234347664	0.260297196
0.440551402	0.428725234	0.559448598	0.571274766	0.003093458	0.00486729	0.437457944	0.423857944	0.034547664	0.01151215	0.290214953	0.271665421	0.234685981	0.288097196
0.334616822	0.34055514	0.665383178	0.65944486	0.003048598	0.008839252	0.331568224	0.331715888	0.023500935	0.024500935	0.380485981	0.451241121	0.261396262	0.183702804
0.339805607	0.371605607	0.660194393	0.628394393	0.001153271	0.0012	0.338652336	0.370405607	0.037158879	0.00211028	0.451370093	0.413940187	0.171665421	0.212343925
0.21128631	0.118341094	0.78871369	0.881658906	0.032486944	0.002211931	0.178799366	0.116129163	0.140889059	0.221561842	0.622850757	0.623894035	0.024973874	0.03620303
0.15856034	0.156553983	0.84143966	0.843446017	0.012692336	0.007753665	0.145868004	0.148800318	0.375642637	0.379275022	0.349682569	0.415785537	0.116114454	0.048385459
0.1400098	0.097880681	0.8599902	0.902119319	0.121977214	0	0.018032586	0.097880681	0.469227	0.630001225	0.385348524	0.238037486	0.005414676	0.034080608
0.6852	0.47999	0.3148	0.52001	0.3811	0.40369	0.3041	0.0763	0.0965	0.40798	0.2071	0.08643	0.0112	0.0256
0.377610504	0.422295169	0.622389496	0.577704831	0.200801781	0.177689739	0.176808723	0.244605429	0.415886581	0.35896391	0.141396419	0.144169638	0.065106495	0.074571283
0.381977273	0.401599242	0.618022727	0.598400758	0.108231061	0.131903788	0.273746212	0.269695455	0.581040152	0.552664394	0.036982576	0.045736364	0	0
0.381977273	0.415224242	0.618022727	0.584775758	0.108231061	0.105249242	0.273746212	0.309975	0.581040152	0.520601515	0.036982576	0.064174242	0	0
0.381977273	0.439170455	0.618022727	0.560829545	0.108231061	0.114595455	0.273746212	0.324575	0.581040152	0.50382197	0.036982576	0.057007576	0	0
0.390587879	0.354989394	0.609412121	0.645010606	0.084866667	0.101934848	0.305721212	0.253054545	0.552591667	0.59339697	5.68E-02	0.051613636	0	0
0.390587879	0.35257197	0.609412121	0.64742803	0.084866667	0.09220303	0.305721212	0.260368939	0.552591667	0.59175	5.68E-02	0.05567803	0	0
0.390587879	0.373677273	0.609412121	0.626322727	0.084866667	0.083890152	0.305721212	0.289787121	0.552591667	0.573802273	0.056820455	0.052520455	0	0
0.608283636	0.598768182	0.391716364	0.401231818	0.060279091	0.064873485	0.548004545	0.533894697	0.310549091	0.322231818	0.081167273	0.079	0	0
0.608283636	0.610013636	0.391716364	0.389986364	0.060279091	0.077869091	0.548004545	0.532144545	0.310549091	0.325984545	0.081167273	0.064001818	0	0
0.608283636	0.593947727	0.391716364	0.406052273	0.060279091	0.0608	0.548004545	0.533147727	0.310549091	0.324095455	0.081167273	0.081956818	0	0
0.667899242	0.702002727	0.332100758	0.297997273	0.083798485	0.070944545	0.584100758	0.631058182	0.253295455	0.237024545	7.88E-02	6.10E-02	0	0
0.667899242	0.616244444	0.332100758	0.383755556	0.083798485	0.043972222	0.584100758	0.572272222	0.253295455	0.318958333	7.88E-02	6.48E-02	0	0
0.331916667	0.299866667	0.668083333	0.700133333	0.307891667	0.25465	0.024025	0.045216667	0.249741667	0.106416667	0.381383333	0.541083333	0.036958333	0.052633333
