StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,Group_CK,Xc,Sc,Group_TR,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
106,"Town et al., 2022",2022,42.216667,-82.733333,894,9.191666603,5,3,15,LongitudeXy0,MAP600Dao1200,MAT8Dao15,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D3-5,R3,D11-20,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_106UCK,84.5,24.24183711,Fungi_106UTR,44.75,3.593976442,4,4,-0.63566009,0.020575844,0.001612517,0.022188361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,42.216667,-82.733333,894,9.191666603,5,3,15,LongitudeXy0,MAP600Dao1200,MAT8Dao15,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_106VCK,70.75,13.22560648,Fungi_106VTR,40.5,26.53927907,4,4,-0.557850562,0.008736114,0.107351522,0.116087636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,42.216667,-82.733333,894,9.191666603,5,3,15,LongitudeXy0,MAP600Dao1200,MAT8Dao15,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_106WCK,51.5,35.3506247,Fungi_106WTR,54.5,1.732050808,4,4,0.056618894,0.117793069,0.000252504,0.118045573,NA,NA,NA,2.05155,2.04124,-0.005038139,NA,NA,NA,0.199866,0.205235,0.026508522,21.375,30.75,0.363667979,3.83032,3.33926,-0.137199125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,42.216667,-82.733333,894,9.191666603,5,3,15,LongitudeXy0,MAP600Dao1200,MAT8Dao15,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Reproductive stage,D3-5,R3,D11-20,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_106XCK,59,27.94041279,Fungi_106XTR,52.25,8.30160627,4,4,-0.121497553,0.056066264,0.006310906,0.06237717,NA,NA,NA,1.94845,2.15464,0.100589472,NA,NA,NA,0.205235,0.195839,-0.046862771,6.75,11.25,0.510825624,3.9123,3.56938,-0.091733525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,"Town et al., 2022",2022,42.216667,-82.733333,894,9.191666603,5,3,15,LongitudeXy0,MAP600Dao1200,MAT8Dao15,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Harvest,D3-5,R3,D11-20,Non_Rhizosphere,Medium,No_tillage,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_106YCK,53.25,28.07579028,Fungi_106YTR,44.5,9.678154094,4,4,-0.179508615,0.069496793,0.011825106,0.081321899,NA,NA,NA,2.07216,2.02062,-0.025187146,NA,NA,NA,0.22,0.205906,-0.066207792,6.75,10.875,0.476924072,3.59881,3.45363,-0.041177383,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,No_tillage,Retention,Fertilizer,ITS1,Fungi_nodes,Fungi_112DCK,28,7.071067812,Fungi_112DTR,38,3.8,3,3,0.30538165,0.021258503,0.003333333,0.024591837,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Maturity stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,Tillage,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_112ECK,46,4.6,Fungi_112ETR,49,4.9,3,3,0.063178902,0.003333333,0.003333333,0.006666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Maturity stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,No_tillage,Retention,Fertilizer,ITS1,Fungi_nodes,Fungi_112FCK,43,4.3,Fungi_112FTR,50,5,3,3,0.15082289,0.003333333,0.003333333,0.006666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Harvest,D5-10,R2,D11-20,Non_Rhizosphere,Fine,No_tillage,Retention,Fertilizer,ITS1,Fungi_nodes,Fungi_112HCK,43,4.3,Fungi_112HTR,31,3.1,3,3,-0.327212911,0.003333333,0.003333333,0.006666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,"Wang et al., 2021 (a)",2021,44.2,125.55,578.0000153,4.724999905,7,2,14,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Annual,Vegetative stage,D5-10,R2,D11-20,Non_Rhizosphere,Fine,Tillage,Unknow,Fertilizer,ITS1,Fungi_nodes,Fungi_112ICK,40,4,Fungi_112ITR,43.5,4.949747468,3,3,0.083881484,0.003333333,0.00431585,0.007649183,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
