BetaID,GroupCK,MeanCK,SDCK,GroupTR,MeanTR,SDTR,StudyID,Publication,Pubyear,Latitude,Longitude,MAPmean,MATmean,Rotation_cycles,SpeciesRichness,Duration,Longitude_Sub,MAPmean2_Sub,MATmean_Sub,LegumeNonlegume,AMnonAM,C3C4,Annual_Pere,Plant_stage,Rotation_cycles2,SpeciesRichness2,Duration2,Bulk_Rhizosphere,Soil_texture,Tillage,Straw_retention,Fertilizer,Primer,Variable,GroupCK,Xc,Sc,GroupTR,Xe,Se,Nc,Ne,RR,ViCK,ViTR,Vi,pHCK,pHTR,RRpH,SOCCK,SOCTR,RRSOC,TCCK,TCTR,RRTOC,TNCK,TNTR,RRTN,NO3CK,NO3TR,RRNO3,NH4CK,NH4TR,RRNH4,APCK,APTR,RRAP,AKCK,AKTR,RRAK,ANCK,ANTR,RRAN,YieldCK,YieldTR,RRYield
Fungi_24A,Fungi_24ABCDCK,1807.833333,684.514256,Fungi_24ATR,689.6666667,176.5000472,24,"Fan et al., 2020",2020,20.08333,110.16667,1757.00004,23.8,2,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Fine,Unknow,Unknow,Fertilizer,ITS1 + 5.8S + ITS2,Plant_Pathogen,Fungi_24ABCDCK,1807.833333,684.514256,Fungi_24ATR,689.6666667,176.5000472,6,6,-0.963675965,0.023894446,0.01091591,0.034810356,5.82,6.65,0.133316593,1.548723898,1.751740139,0.123178359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.37,51.4,-0.074399758,143.03,147.7,0.032128791,110.71,107.87,-0.025987371,36.35,48.92,0.296992107
Fungi_24B,Fungi_24ABCDCK,1807.833333,684.514256,Fungi_24BTR,22,NA,24,"Fan et al., 2020",2020,20.08333,110.16667,1757.00004,23.8,2,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C4,Perennial to Perennial,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Fine,Unknow,Unknow,Fertilizer,ITS1 + 5.8S + ITS2,Plant_Pathogen,Fungi_24ABCDCK,1807.833333,684.514256,Fungi_24BTR,22,2.2,6,6,-4.4088419,0.023894446,0.001666667,0.025561113,5.82,6.3,0.079249372,1.548723898,1.722737819,0.10648348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.37,45.78,-0.190190616,143.03,145.91,0.019935595,110.71,104.46,-0.058109947,36.35,47.37,0.264794913
Fungi_24D,Fungi_24ABCDCK,1807.833333,684.514256,Fungi_24DTR,249,45.96737974,24,"Fan et al., 2020",2020,20.08333,110.16667,1757.00004,23.8,2,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Fine,Unknow,Unknow,Fertilizer,ITS1 + 5.8S + ITS2,Plant_Pathogen,Fungi_24ABCDCK,1807.833333,684.514256,Fungi_24DTR,249,45.96737974,6,6,-1.982431457,0.023894446,0.005680016,0.029574462,5.82,5.89,0.011955736,1.548723898,1.629930394,0.051106011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.37,49.46,-0.112873669,143.03,145.51,0.017190414,110.71,119.06,0.072713398,36.35,39.53,0.083865673
Fungi_38A,Fungi_38ACK,1126.333333,931.9025342,Fungi_38ATR,692.3333333,525.2973761,38,"He et al.,2023",2023,44.55,123.51667,467.0000153,6.258333683,3,2,3,LongitudeDa0,MAPXy600,MATXy8,Non-legume to Legume,AM to AM,C4 to C3,Annual to Perennial,Maturity stage,D1-3,R2,D1-5,Rhizosphere,Medium,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_38ACK,1126.333333,931.9025342,Fungi_38ATR,692.3333333,525.2973761,3,3,-0.486655263,0.228184351,0.19189282,0.420077171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_38B,Fungi_38BCK,922,447.8749826,Fungi_38BTR,695,139.0431588,38,"He et al.,2023",2023,44.55,123.51667,467.0000153,6.258333683,3,2,3,LongitudeDa0,MAPXy600,MATXy8,Legume to Non-legume,AM to AM,C3 to C4,Perennial to Annual,Maturity stage,D1-3,R2,D1-5,Rhizosphere,Medium,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_38BCK,922,447.8749826,Fungi_38BTR,695,139.0431588,3,3,-0.282633378,0.078655756,0.013341614,0.091997371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_39A,Fungi_39ABCCK,441.25,150.4751997,Fungi_39ATR,467.25,128.1959995,39,"He et al., 2024",2024,33.033333,116.383333,814.9999695,15.30000019,5,2,10,LongitudeDa0,MAP600Dao1200,MATDy15,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Vegetative stage,D3-5,R2,D6-10,Rhizosphere,Unknow,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_39ABCCK,441.25,150.4751997,Fungi_39ATR,467.25,128.1959995,8,8,0.057252838,0.014536854,0.009409365,0.02394622,7.63,7.63,0,1.231,1.114,-0.099869706,NA,NA,NA,0.88,0.94,0.065957968,3.09,2.42,-0.244403551,12.08,12.59,0.041351656,12.78,4.09,-1.139336479,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_39B,Fungi_39ABCCK,441.25,150.4751997,Fungi_39BTR,518.875,130.7445028,39,"He et al., 2024",2024,33.033333,116.383333,814.9999695,15.30000019,10,2,20,LongitudeDa0,MAP600Dao1200,MATDy15,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Vegetative stage,D5-10,R2,D11-20,Rhizosphere,Unknow,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_39ABCCK,441.25,150.4751997,Fungi_39BTR,518.875,130.7445028,8,8,0.162051398,0.014536854,0.007936543,0.022473398,7.63,7.67,0.00522877,1.231,1.079,-0.131792161,NA,NA,NA,0.88,0.87,-0.011428696,3.09,2.04,-0.415221283,12.08,13.92,0.141775462,12.78,11.38,-0.11602402,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_39C,Fungi_39ABCCK,441.25,150.4751997,Fungi_39CTR,536,165.0047618,39,"He et al., 2024",2024,33.033333,116.383333,814.9999695,15.30000019,15,2,30,LongitudeDa0,MAP600Dao1200,MATDy15,Non-legume to Non-legume,nonAM to AM,C3 to C4,Annual to Annual,Vegetative stage,D10,R2,D20-40,Rhizosphere,Unknow,Unknow,Unknow,Unknow,ITS1,Plant_Pathogen,Fungi_39ABCCK,441.25,150.4751997,Fungi_39CTR,536,165.0047618,8,8,0.194522553,0.014536854,0.011846045,0.026382899,7.63,7.58,-0.006574646,1.231,1.325,0.073585612,NA,NA,NA,0.88,1.08,0.204794413,3.09,2.45,-0.232083066,12.08,12.69,0.049263089,12.78,15.38,0.185186515,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_41A,Fungi_41ACK,2270.666667,230.65631,Fungi_41ATR,1179.333333,161.5064498,41,"Hong et al., 2020",2020,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Non_Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_41ACK,2270.666667,230.65631,Fungi_41ATR,1179.333333,161.5064498,3,3,-0.655124167,0.003439558,0.006251516,0.009691074,5.442105263,6.842105263,0.228929488,0.587006961,0.638051044,0.083381609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,196.65,158.05,-0.21851406,112.58,233.37,0.728961097,NA,NA,NA,NA,NA,NA
Fungi_41B,Fungi_41BCK,7026.666667,590.9232889,Fungi_41BTR,2306,519.0616534,41,"Hong et al., 2020",2020,18.383333,108.733333,1246.00008,25.508333,1.5,2,3,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1-3,R2,D1-5,Non_Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_41BCK,7026.666667,590.9232889,Fungi_41BTR,2306,519.0616534,3,3,-1.114198013,0.002357449,0.01688877,0.019246219,4.526315789,6.021052632,0.285353783,0.516821346,0.693155452,0.293557037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,259.57,277.74,0.067659009,144.49,148.41,0.026768413,NA,NA,NA,NA,NA,NA
Fungi_42A,Fungi_42ABCK,7040,596.7520423,Fungi_42ATR,2263.333333,513.2371122,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42ABCK,7040,596.7520423,Fungi_42ATR,2263.333333,513.2371122,3,3,-1.134769517,0.002395087,0.017140276,0.019535363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42B,Fungi_42ABCK,7040,596.7520423,Fungi_42BTR,5111,1062.01742,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42ABCK,7040,596.7520423,Fungi_42BTR,5111,1062.01742,3,3,-0.32021309,0.002395087,0.014392302,0.016787389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42C,Fungi_42CDCK,5819,1118.553977,Fungi_42CTR,6702.333333,445.0677851,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42CDCK,5819,1118.553977,Fungi_42CTR,6702.333333,445.0677851,3,3,0.141327299,0.012316744,0.00146987,0.013786615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42D,Fungi_42CDCK,5819,1118.553977,Fungi_42DTR,9178,374.766594,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42CDCK,5819,1118.553977,Fungi_42DTR,9178,374.766594,3,3,0.45568089,0.012316744,0.000555782,0.012872526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42E,Fungi_42EFCK,2260,322.6561637,Fungi_42ETR,4420.666667,669.2774711,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Non_Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42EFCK,2260,322.6561637,Fungi_42ETR,4420.666667,669.2774711,3,3,0.670925701,0.006794254,0.007640392,0.014434646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42F,Fungi_42EFCK,2260,322.6561637,Fungi_42FTR,2890,NA,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Non_Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42EFCK,2260,322.6561637,Fungi_42FTR,2890,289,3,3,0.245891689,0.006794254,0.003333333,0.010127588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42G,Fungi_42GHCK,4879.666667,1404.171405,Fungi_42GTR,6414.333333,1325.595086,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Non_Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42GHCK,4879.666667,1404.171405,Fungi_42GTR,6414.333333,1325.595086,3,3,0.273458158,0.027601881,0.014236311,0.041838192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42H,Fungi_42GHCK,4879.666667,1404.171405,Fungi_42HTR,4946,NA,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1,2,2,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1,R2,D1-5,Non_Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42GHCK,4879.666667,1404.171405,Fungi_42HTR,4946,494.6,3,3,0.013502258,0.027601881,0.003333333,0.030935215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42I,Fungi_42IJCK,385,279.3725112,Fungi_42ITR,625,386.9224729,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1.5,2,3,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1-3,R2,D1-5,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42IJCK,385,279.3725112,Fungi_42ITR,625,386.9224729,3,3,0.484508315,0.175519199,0.12775168,0.303270879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42J,Fungi_42IJCK,385,279.3725112,Fungi_42JTR,1113,577.4461014,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1.5,2,3,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1-3,R2,D1-5,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42IJCK,385,279.3725112,Fungi_42JTR,1113,577.4461014,3,3,1.061571017,0.175519199,0.089724557,0.265243757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42K,Fungi_42KLCK,149.3333333,49.35922744,Fungi_42KTR,436,79.37883849,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1.5,2,3,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1-3,R2,D1-5,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42KLCK,149.3333333,49.35922744,Fungi_42KTR,436,79.37883849,3,3,1.0714613,0.036416813,0.011048803,0.047465616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fungi_42L,Fungi_42KLCK,149.3333333,49.35922744,Fungi_42LTR,809.6666667,157.2460916,42,"Hong et al., 2023",2023,18.383333,108.733333,1246.00008,25.508333,1.5,2,3,LongitudeDa0,MAPDy1200,MATDy15,Non-legume to Non-legume,AM to AM,C3 to C3,Perennial to Annual,Harvest,D1-3,R2,D1-5,Rhizosphere,Coarse,Unknow,Unknow,Fertilizer,ITS1,Plant_Pathogen,Fungi_42KLCK,149.3333333,49.35922744,Fungi_42LTR,809.6666667,157.2460916,3,3,1.690441697,0.036416813,0.012572624,0.048989437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
