OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_25786	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Isosphaeraceae	Aquisphaera	Unassigned
ASV_25787	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Fimbriiglobus	Unassigned
ASV_25771	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Segetibacter	Unassigned
ASV_25758	Bacteria	Actinobacteria	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella	Unassigned
ASV_25796	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25780	Bacteria	Armatimonadetes	Unassigned	Unassigned	Unassigned	Armatimonadetes_gp4	Unassigned
ASV_25794	Archaea	Thaumarchaeota	Unassigned	Nitrososphaerales	Nitrososphaeraceae	Nitrososphaera	Unassigned
ASV_25789	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	Ornatilinea	Unassigned
ASV_25772	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Unassigned	Unassigned
ASV_25795	Bacteria	Chloroflexi	Chloroflexia	Chloroflexales	Roseiflexaceae	Roseiflexus	Unassigned
ASV_25781	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Iamiaceae	Actinomarinicola	Unassigned
ASV_25788	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1	Unassigned
ASV_25785	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Granulosicoccaceae	Sulfuriflexus	Unassigned
ASV_25807	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25761	Bacteria	Proteobacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25805	Bacteria	Planctomycetes	Planctomycetacia	Planctomycetales	Gemmataceae	Limnoglobus	Unassigned
ASV_25802	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Pirellula	Unassigned
ASV_25777	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Microbacterium	Unassigned
ASV_25790	Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	Ilumatobacteraceae	Desertimonas	Unassigned
ASV_25801	Bacteria	Acidobacteria	Acidobacteria_Gp6	Unassigned	Unassigned	Gp6	Unassigned
ASV_25803	Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	Polyangiaceae	Racemicystis	Unassigned
ASV_25800	Bacteria	Acidobacteria	Acidobacteria_Gp3	Unassigned	Unassigned	Candidatus_Solibacter	Unassigned
ASV_25784	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter	Unassigned
ASV_25806	Bacteria	Chlamydiae	Chlamydiia	Chlamydiales	Criblamydiaceae	Estrella	Unassigned
ASV_25808	Bacteria	Bacteroidetes	Chitinophagia	Chitinophagales	Chitinophagaceae	Unassigned	Unassigned
ASV_25816	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25813	Bacteria	Firmicutes	Clostridia	Clostridiales	Unassigned	Unassigned	Unassigned
ASV_25823	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
ASV_25812	Bacteria	Chloroflexi	Thermomicrobia	Sphaerobacterales	Sphaerobacteraceae	Nitrolancea	Unassigned
